P,I,D,CTE,Total Error,Speed,Steer Value,Steering Angle
0.4138,163.121,-0.004,0.4138,1.65372,19.4287,-0.00138,-0.6174
0.4099,163.53,-0.0039,0.4099,1.65405,19.2337,-0.00199,0.3168
0.406,163.936,-0.0039,0.406,1.65438,19.5896,-0.0016,0.4018
0.4022,164.339,-0.0038,0.4022,1.65469,19.4008,-0.00222,0.3866
0.4022,164.741,0,0.4022,1.65501,19.4008,-0.04022,0.3866
0.3985,165.139,-0.0037,0.3985,1.65532,19.7499,-0.00285,0.3808
0.3946,165.534,-0.0039,0.3946,1.65563,19.5669,-0.00046,-0.5692
0.3908,165.925,-0.0038,0.3908,1.65592,19.9094,-0.00108,0.3651
0.3871,166.312,-0.0037,0.3871,1.65621,19.7323,-0.00171,0.4248
0.3834,166.695,-0.0037,0.3834,1.65649,20.0683,-0.00134,0.4093
0.3834,167.079,0,0.3834,1.65677,20.0683,-0.03834,0.4093
0.3799,167.459,-0.0035,0.3799,1.65705,19.8973,-0.00299,0.4028
0.3761,167.835,-0.0038,0.3761,1.65732,20.2263,0.00039,-0.5222
0.3724,168.207,-0.0037,0.3724,1.65758,20.0614,-0.00024,0.3616
0.3687,168.576,-0.0037,0.3687,1.65784,20.3838,0.00013,0.4461
0.3652,168.941,-0.0035,0.3652,1.65809,20.2252,-0.00152,0.4303
0.3652,169.306,0,0.3652,1.65834,20.2252,-0.03652,0.4303
0.3617,169.668,-0.0035,0.3617,1.65858,20.5405,-0.00117,0.3983
0.3582,170.026,-0.0035,0.3582,1.65882,20.3884,-0.00082,-0.4767
0.3547,170.381,-0.0035,0.3547,1.65905,20.6964,-0.00047,0.4071
0.3512,170.732,-0.0035,0.3512,1.65928,20.5511,-0.00012,0.4158
0.3479,171.08,-0.0033,0.3479,1.6595,20.8516,-0.00179,0.4246
0.3479,171.428,0,0.3479,1.65973,20.8516,-0.03479,0.4246
0.3446,171.772,-0.0033,0.3446,1.65994,20.7133,-0.00146,0.3916
0.3412,172.114,-0.0034,0.3412,1.66015,21.006,-0.00012,-0.4334
0.3378,172.451,-0.0034,0.3378,1.66036,20.8748,0.00022,0.3998
0.3346,172.786,-0.0032,0.3346,1.66056,21.1597,-0.00146,0.4333
0.3314,173.117,-0.0032,0.3314,1.66076,21.036,-0.00114,0.4418
0.3314,173.449,0,0.3314,1.66096,21.036,-0.03314,0.4418
0.3283,173.777,-0.0031,0.3283,1.66115,21.3126,-0.00183,0.4078
0.3251,174.102,-0.0032,0.3251,1.66134,21.1968,-0.00051,-0.3922
0.322,174.424,-0.0031,0.322,1.66152,21.4644,-0.0012,0.3906
0.319,174.743,-0.003,0.319,1.6617,21.3572,-0.0019,0.4236
0.316,175.059,-0.003,0.316,1.66188,21.6155,-0.0016,0.4063
0.316,175.375,0,0.316,1.66205,21.6155,-0.0316,0.4063
0.3132,175.688,-0.0028,0.3132,1.66222,21.5173,-0.00332,0.3963
0.3102,175.999,-0.003,0.3102,1.66239,21.7655,-0.00102,-0.3537
0.3073,176.306,-0.0029,0.3073,1.66256,21.677,-0.00173,0.3533
0.3044,176.61,-0.0029,0.3044,1.66272,21.9146,-0.00144,0.4108
0.3017,176.912,-0.0027,0.3017,1.66287,21.8365,-0.00317,0.3931
0.3017,177.214,0,0.3017,1.66303,21.8365,-0.03017,0.3931
0.299,177.513,-0.0027,0.299,1.66318,22.0627,-0.0029,0.3571
0.2963,177.809,-0.0027,0.2963,1.66333,21.9957,-0.00263,-0.3179
0.2936,178.103,-0.0027,0.2936,1.66348,22.2095,-0.00236,0.3638
0.2911,178.394,-0.0025,0.2911,1.66362,22.1547,-0.00411,0.3706
0.2896,178.683,-0.0015,0.2896,1.66376,22.3552,-0.01396,0.3773
0.289,178.972,-0.0006,0.289,1.6639,22.3133,-0.0229,0.3336
0.289,179.261,0,0.289,1.66404,22.3133,-0.0289,0.3336
0.2893,179.551,0.0003,0.2893,1.66418,22.4999,-0.03193,-0.1362
0.2905,179.841,0.0012,0.2905,1.66433,22.4712,-0.04105,-0.2862
0.2925,180.134,0.002,0.2925,1.66447,22.6436,-0.04925,-0.3619
0.2951,180.429,0.0026,0.2951,1.66461,22.628,-0.05551,-0.5899
0.2951,180.724,0,0.2951,1.66476,22.628,-0.02951,-0.5899
0.2986,181.022,0.0035,0.2986,1.6649,22.7863,-0.06486,-0.9514
0.3029,181.325,0.0043,0.3029,1.66505,22.7832,-0.07329,-0.3014
0.3079,181.633,0.005,0.3079,1.66521,22.929,-0.08079,-1.1852
0.3135,181.947,0.0056,0.3135,1.66537,22.9361,-0.08735,-1.3959
0.3195,182.266,0.006,0.3195,1.66553,23.0709,-0.09195,-1.5834
0.3195,182.586,0,0.3195,1.6657,23.0709,-0.03195,-1.5834
0.3252,182.911,0.0057,0.3252,1.66587,23.0871,-0.08952,-1.8624
0.3309,183.242,0.0057,0.3309,1.66604,23.2133,-0.09009,-0.3624
0.3361,183.578,0.0052,0.3361,1.66623,23.2378,-0.08561,-1.8017
0.3409,183.919,0.0048,0.3409,1.66641,23.3551,-0.08209,-1.8159
0.3453,184.264,0.0044,0.3453,1.6666,23.387,-0.07853,-1.7039
0.3453,184.609,0,0.3453,1.66679,23.387,-0.03453,-1.7039
0.3493,184.959,0.004,0.3493,1.66698,23.4976,-0.07493,-1.5269
0.3533,185.312,0.004,0.3533,1.66718,23.5362,-0.07533,-0.4269
0.3569,185.669,0.0036,0.3569,1.66738,23.6402,-0.07169,-1.4369
0.3601,186.029,0.0032,0.3601,1.66758,23.6842,-0.06801,-1.4469
0.363,186.392,0.0029,0.363,1.66779,23.7824,-0.0653,-1.3559
0.363,186.755,0,0.363,1.668,23.7824,-0.0363,-1.3559
0.3656,187.121,0.0026,0.3656,1.6682,23.8316,-0.06256,-1.1962
0.3681,187.489,0.0025,0.3681,1.66841,23.9247,-0.06181,-0.4712
0.3703,187.859,0.0022,0.3703,1.66862,23.9782,-0.05903,-1.1277
0.3722,188.231,0.0019,0.3722,1.66884,24.0667,-0.05622,-1.1089
0.3739,188.605,0.0017,0.3739,1.66905,24.1239,-0.05439,-1.0394
0.3752,188.98,0.0013,0.3752,1.66927,24.2084,-0.05052,-0.9692
0.3752,189.355,0,0.3752,1.66948,24.2084,-0.03752,-0.9692
0.3764,189.732,0.0012,0.3764,1.6697,24.2687,-0.04964,-0.8267
0.3773,190.109,0.0009,0.3773,1.66991,24.3499,-0.04673,-0.5017
0.3781,190.487,0.0008,0.3781,1.67013,24.4127,-0.04581,-0.8047
0.3786,190.866,0.0005,0.3786,1.67034,24.4911,-0.04286,-0.7319
0.3786,191.244,0,0.3786,1.67056,24.4911,-0.03786,-0.7319
0.3789,191.623,0.0003,0.3789,1.67077,24.5558,-0.04089,-0.6352
0.3791,192.002,0.0002,0.3791,1.67099,24.632,-0.03991,-0.5102
0.379,192.381,-0.0001,0.379,1.6712,24.6981,-0.0369,-0.5859
0.3788,192.76,-0.0002,0.3788,1.67142,24.7724,-0.03588,-0.5614
0.3784,193.139,-0.0004,0.3784,1.67163,24.8396,-0.03384,-0.4862
0.3779,193.517,-0.0005,0.3779,1.67184,24.9125,-0.03279,-0.4607
